filename,replication_factor,consistency,num_keys,threads,total_errors,consistency_passed,violations
fuzz_rf1_weak_keys140_threads4.log,1,weak,140,4,0,True,0
fuzz_rf1_weak_keys140_threads64.log,1,weak,140,64,0,True,0
fuzz_rf1_weak_keys140_threads8.log,1,weak,140,8,0,True,0
fuzz_rf1_weak_keys20_threads1.log,1,weak,20,1,0,True,0
fuzz_rf1_weak_keys20_threads128.log,1,weak,20,128,0,True,0
fuzz_rf1_weak_keys20_threads16.log,1,weak,20,16,0,True,0
fuzz_rf1_weak_keys20_threads2.log,1,weak,20,2,0,True,0
fuzz_rf1_weak_keys20_threads256.log,1,weak,20,256,0,True,0
fuzz_rf1_weak_keys20_threads32.log,1,weak,20,32,0,True,0
fuzz_rf1_weak_keys20_threads4.log,1,weak,20,4,0,True,0
fuzz_rf1_weak_keys20_threads64.log,1,weak,20,64,0,True,0
fuzz_rf1_weak_keys20_threads8.log,1,weak,20,8,0,True,0
fuzz_rf1_weak_keys60_threads1.log,1,weak,60,1,0,True,0
fuzz_rf1_weak_keys60_threads128.log,1,weak,60,128,0,True,0
fuzz_rf1_weak_keys60_threads16.log,1,weak,60,16,0,True,0
fuzz_rf1_weak_keys60_threads2.log,1,weak,60,2,0,True,0
fuzz_rf1_weak_keys60_threads256.log,1,weak,60,256,0,True,0
fuzz_rf1_weak_keys60_threads32.log,1,weak,60,32,0,True,0
fuzz_rf1_weak_keys60_threads4.log,1,weak,60,4,0,True,0
fuzz_rf1_weak_keys60_threads64.log,1,weak,60,64,0,True,0
fuzz_rf1_weak_keys60_threads8.log,1,weak,60,8,0,True,0
fuzz_rf3_linearizable_keys100_threads1.log,3,linearizable,100,1,0,True,0
fuzz_rf3_linearizable_keys100_threads128.log,3,linearizable,100,128,0,True,0
fuzz_rf3_linearizable_keys100_threads16.log,3,linearizable,100,16,0,True,0
fuzz_rf3_linearizable_keys100_threads2.log,3,linearizable,100,2,0,True,0
fuzz_rf3_linearizable_keys100_threads256.log,3,linearizable,100,256,0,True,0
fuzz_rf3_linearizable_keys100_threads32.log,3,linearizable,100,32,0,True,0
fuzz_rf3_linearizable_keys100_threads4.log,3,linearizable,100,4,0,True,0
fuzz_rf3_linearizable_keys100_threads64.log,3,linearizable,100,64,0,True,0
fuzz_rf3_linearizable_keys100_threads8.log,3,linearizable,100,8,0,True,0
fuzz_rf3_linearizable_keys140_threads1.log,3,linearizable,140,1,0,True,0
fuzz_rf3_linearizable_keys140_threads128.log,3,linearizable,140,128,0,True,0
fuzz_rf3_linearizable_keys140_threads16.log,3,linearizable,140,16,0,True,0
fuzz_rf3_linearizable_keys140_threads2.log,3,linearizable,140,2,0,True,0
fuzz_rf3_linearizable_keys140_threads256.log,3,linearizable,140,256,0,True,0
fuzz_rf3_linearizable_keys140_threads32.log,3,linearizable,140,32,0,True,0
fuzz_rf3_linearizable_keys140_threads4.log,3,linearizable,140,4,0,True,0
