filename,replication_factor,consistency,workload,threads,overall_runtime_ms,overall_throughput_ops_sec,read_operations,read_averagelatency_us,read_minlatency_us,read_maxlatency_us,read_95thpercentilelatency_us,read_99thpercentilelatency_us,update_operations,update_averagelatency_us,update_minlatency_us,update_maxlatency_us,update_95thpercentilelatency_us,update_99thpercentilelatency_us,cleanup_operations,cleanup_averagelatency_us,cleanup_minlatency_us,cleanup_maxlatency_us,cleanup_95thpercentilelatency_us,cleanup_99thpercentilelatency_us,insert_operations,insert_averagelatency_us,insert_minlatency_us,insert_maxlatency_us,insert_95thpercentilelatency_us,insert_99thpercentilelatency_us,scan_operations,scan_averagelatency_us,scan_minlatency_us,scan_maxlatency_us,scan_95thpercentilelatency_us,scan_99thpercentilelatency_us,read_modify_write_operations,read_modify_write_averagelatency_us,read_modify_write_minlatency_us,read_modify_write_maxlatency_us,read_modify_write_95thpercentilelatency_us,read_modify_write_99thpercentilelatency_us
ycsb_rf1_linearizable_workloadd_threads1.log,1,linearizable,d,1,796.0,1256.2814070351758,951.0,532.9905362776025,283.0,63583.0,868.0,1537.0,,,,,,,1.0,5.0,5.0,5.0,5.0,5.0,49.0,1151.061224489796,561.0,13175.0,1589.0,13175.0,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadd_threads128.log,1,linearizable,d,128,1048.0,954.1984732824427,946.0,70987.75792811839,447.0,366847.0,348671.0,359423.0,,,,,,,128.0,0.0234375,0.0,1.0,0.0,1.0,54.0,50196.46296296296,1028.0,443391.0,410879.0,432895.0,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadd_threads16.log,1,linearizable,d,16,602.0,1661.1295681063123,964.0,5195.9636929460585,306.0,172415.0,8575.0,168831.0,,,,,,,16.0,0.0625,0.0,1.0,0.0,1.0,36.0,6352.111111111111,683.0,184959.0,2089.0,184959.0,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadd_threads2.log,1,linearizable,d,2,673.0,1485.8841010401188,951.0,782.546792849632,298.0,81279.0,1124.0,1857.0,,,,,,,2.0,0.5,0.0,1.0,1.0,1.0,49.0,1177.7551020408164,540.0,16343.0,1467.0,16343.0,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadd_threads256.log,1,linearizable,d,256,1218.0,821.0180623973728,954.0,165689.77987421383,534.0,477951.0,455935.0,469503.0,,,,,,,256.0,0.015625,0.0,2.0,0.0,0.0,46.0,112345.5,946.0,570367.0,538111.0,570367.0,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadd_threads32.log,1,linearizable,d,32,710.0,1408.4507042253522,948.0,12067.352320675105,267.0,191743.0,29599.0,188159.0,,,,,,,32.0,0.03125,0.0,1.0,0.0,1.0,52.0,3758.403846153846,677.0,55423.0,7755.0,26239.0,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadd_threads4.log,1,linearizable,d,4,552.0,1811.5942028985507,958.0,1192.1388308977037,307.0,85503.0,1654.0,4471.0,,,,,,,4.0,0.5,0.0,2.0,2.0,2.0,42.0,1854.5238095238096,631.0,20959.0,1747.0,20959.0,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadd_threads64.log,1,linearizable,d,64,808.0,1237.6237623762377,951.0,25997.727655099894,261.0,243455.0,223487.0,237695.0,,,,,,,64.0,0.015625,0.0,1.0,0.0,0.0,49.0,8264.061224489797,743.0,260991.0,15463.0,260991.0,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadd_threads8.log,1,linearizable,d,8,529.0,1890.359168241966,954.0,2092.754716981132,297.0,125823.0,2733.0,7947.0,,,,,,,8.0,0.125,0.0,1.0,1.0,1.0,46.0,4542.04347826087,716.0,136831.0,6823.0,136831.0,,,,,,,,,,,,
ycsb_rf1_linearizable_workloade_threads1.log,1,linearizable,e,1,2274.0,439.7537379067722,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,55.0,1183.4727272727273,647.0,14343.0,1356.0,1772.0,945.0,2091.9396825396825,356.0,70975.0,3505.0,4699.0,,,,,,
